quadrat,start_valley_date,end_peak_date,notes
1,2016-05,2017-03,
2,2016-05,2016-09,
3,2016-06,2017-01,
4,2016-05,2016-11,
5,2016-05,2017-01,
6,2016-06,2017-02,
7,2016-04,2016-11,
8,NA,NA,too weird
9,2016-06,2017-02,
10,2016-06,2017-02,
11,2016-06,2017-01,
12,2016-06,2016-11,
13,2016-06,2016-11,
14,2016-06,2017-01,
15,2016-06,2016-11,
16,2016-06,2017-01,
17,NA,NA,too weird
18,2016-07,2017-01,
19,2016-07,2017-01,
20,2016-09,2017-01,
21,2016-04,2016-11,
22,2016-05,2016-11,
23,2016-06,2017-01,
24,2016-07,2017-04,
25,NA,NA,empty
26,2016-05,2017-01,
27,2016-06,2017-02,
28,2016-06,2017-02,
29,2016-05,2016-11,
30,2016-05,2016-07,
31,2016-06,2017-01,
32,2016-04,2016-11,
33,2016-06,2017-01,
34,2016-05,2017-01,
35,2016-05,2017-01,
36,2016-05,2016-11,
37,2016-06,2017-01,
38,2016-05,2016-09,
39,2016-05,2017-02,
40,2016-04,2017-01,
41,2016-05,2017-01,
42,2016-07,2017-01,
43,2016-05,2017-01,
44,NA,NA,empty
45,2016-05,2017-01,
46,2016-05,2017-01,
47,NA,NA,too weird
48,2016-09,2017-01,
49,2016-05,2017-01,
50,NA,NA,too weird
51,2016-05,2016-11,
52,2016-06,2017-01,
53,NA,NA,too weird
54,2016-05,2017-01,
55,2016-06,2017-01,
56,2016-04,2017-01,
57,2016-06,2016-11,
58,NA,NA,too weird
59,2016-05,2016-09,
60,2016-06,2016-09,
61,2016-04,2017-01,
62,2016-05,2017-01,
63,2016-05,2016-07,
64,NA,NA,too weird
65,2016-06,2017-01,
66,2016-05,2017-01,
67,2016-05,2017-01,
68,2016-05,2016-11,
69,2016-05,2017-01,
70,2016-07,2017-04,
71,2016-05,2017-02,
72,2016-05,2016-11,
73,2016-05,2016-11,
74,2016-05,2017-01,
75,2016-05,2017-01,
76,2016-05,2017-01,
77,2016-05,2016-11,
78,2016-06,2017-01,
79,2016-05,2017-01,
80,2016-05,2017-01,
81,NA,NA,too weird
82,2016-05,2017-01,
83,2016-06,2017-01,
84,NA,NA,too weird
85,2016-06,2017-01,
86,2016-06,2017-01,
87,2016-07,2017-01,
88,2016-05,2017-01,
89,2016-05,2016-09,
90,2016-07,2017-02,
91,2016-06,2017-01,
92,2016-06,2017-01,
93,2016-06,2017-02,
94,2016-06,2017-01,
95,NA,NA,too weird
96,NA,NA,empty
97,2016-05,2017-01,
98,2016-05,2017-01,
99,2016-06,2017-01,
100,2016-05,2016-11,
101,NA,NA,too weird
102,2016-05,2016-11,
103,2016-05,2016-11,
104,NA,NA,too weird
105,2016-05,2017-01,
106,2016-05,2016-11,
107,2016-05,2016-11,
108,2016-05,2017-01,
109,2016-05,2017-01,
110,2016-07,2017-01,
111,2016-05,2017-01,
112,2016-06,2016-11,
113,2016-06,2017-01,
114,2016-06,2017-01,
115,2016-05,2016-07,
116,2016-05,2016-11,
117,2016-05,2016-09,
118,2016-07,2017-01,
119,2016-06,2017-01,
120,2016-06,2016-11,
121,2016-05,2017-01,
122,2016-05,2017-02,
123,2016-09,2017-01,
124,2016-05,2017-01,
125,2016-06,2017-01,
126,2016-02,2016-06,
127,2016-07,2017-01,
128,2016-06,2017-01,
